GO term	COGs	GO term name	Number of COGs	IC	SuperCOGs	Number of SuperCOGs
GO:0005732	{'O'}	sno(s)RNA-containing ribonucleoprotein complex	1	10.2818	{'supercog1'}	1
GO:0005736	{'O', 'Y'}	RNA polymerase I complex	2	11.6244	{'supercog3', 'supercog1'}	2
GO:0005737	{'R'}	cytoplasm	1	1.2136	{'general function'}	1
GO:0005739	{'M'}	mitochondrion	1	4.8365	{'supercog1'}	1
GO:0005740	{'M'}	mitochondrial envelope	1	6.0127	{'supercog1'}	1
GO:0005741	{'M'}	mitochondrial outer membrane	1	8.7384	{'supercog1'}	1
GO:0005743	{'M'}	mitochondrial inner membrane	1	6.6506	{'supercog1'}	1
GO:0005746	{'M'}	mitochondrial respirasome	1	9.2215	{'supercog1'}	1
GO:0005747	{'O', 'M'}	mitochondrial respiratory chain complex I	2	10.0394	{'supercog1'}	1
GO:0005749	{'O', 'M'}	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	2	12.5804	{'supercog1'}	1
GO:0005750	{'O', 'M'}	mitochondrial respiratory chain complex III	2	11.5661	{'supercog1'}	1
GO:0005751	{'O', 'M'}	mitochondrial respiratory chain complex IV	2	11.9389	{'supercog1'}	1
GO:0005753	{'O', 'C', 'M'}	mitochondrial proton-transporting ATP synthase complex	3	10.8934	{'supercog2', 'supercog1'}	2
GO:0005757	{'O'}	mitochondrial permeability transition pore complex	1	14.7648	{'supercog1'}	1
GO:0005758	{'M'}	mitochondrial intermembrane space	1	8.7546	{'supercog1'}	1
GO:0005759	{'M'}	mitochondrial matrix	1	6.9354	{'supercog1'}	1
GO:0005761	{'J'}	mitochondrial ribosome	1	8.7364	{'supercog3'}	1
GO:0005762	{'O'}	mitochondrial large ribosomal subunit	1	9.5273	{'supercog1'}	1
GO:0005763	{'O'}	mitochondrial small ribosomal subunit	1	10.0796	{'supercog1'}	1
GO:0005764	{'U'}	lysosome	1	7.6793	{'supercog1'}	1
GO:0005765	{'U'}	lysosomal membrane	1	9.7165	{'supercog1'}	1
GO:0005766	{'U'}	primary lysosome	1	9.6582	{'supercog1'}	1
GO:0005767	{'U'}	secondary lysosome	1	12.3174	{'supercog1'}	1
GO:0005768	{'U', 'M'}	endosome	2	7.0873	{'supercog1'}	1
GO:0005769	{'U', 'M'}	early endosome	2	9.1475	{'supercog1'}	1
GO:0005770	{'U', 'M'}	late endosome	2	8.8384	{'supercog1'}	1
GO:0005771	{'U', 'M'}	multivesicular body	2	11.0246	{'supercog1'}	1
GO:0005773	{'U'}	vacuole	1	6.6328	{'supercog1'}	1
GO:0005774	{'U'}	vacuolar membrane	1	7.9692	{'supercog1'}	1
GO:0005775	{'U'}	vacuolar lumen	1	9.3295	{'supercog1'}	1
GO:0005776	{'U'}	autophagosome	1	10.2701	{'supercog1'}	1
GO:0005777	{'M'}	peroxisome	1	8.0124	{'supercog1'}	1
GO:0005778	{'M'}	peroxisomal membrane	1	10.798	{'supercog1'}	1
GO:0005782	{'M'}	peroxisomal matrix	1	10.9114	{'supercog1'}	1
GO:0005783	{'U', 'M'}	endoplasmic reticulum	2	5.9171	{'supercog1'}	1
GO:0005788	{'U', 'M'}	endoplasmic reticulum lumen	2	8.9883	{'supercog1'}	1
GO:0005789	{'M'}	endoplasmic reticulum membrane	1	6.6968	{'supercog1'}	1
GO:0005790	{'U', 'M'}	smooth endoplasmic reticulum	2	12.6697	{'supercog1'}	1
GO:0005791	{'U', 'M'}	rough endoplasmic reticulum	2	10.6468	{'supercog1'}	1
GO:0005793	{'M'}	endoplasmic reticulum-Golgi intermediate compartment	1	10.3174	{'supercog1'}	1
GO:0005794	{'U', 'M'}	Golgi apparatus	2	6.3671	{'supercog1'}	1
GO:0005795	{'U', 'M'}	Golgi stack	2	9.7938	{'supercog1'}	1
GO:0005797	{'U', 'M'}	Golgi medial cisterna	2	12.798	{'supercog1'}	1
GO:0005798	{'U'}	Golgi-associated vesicle	1	9.0898	{'supercog1'}	1
GO:0005801	{'U', 'M'}	cis-Golgi network	2	11.4828	{'supercog1'}	1
GO:0005802	{'U', 'M'}	trans-Golgi network	2	9.2672	{'supercog1'}	1
GO:0005811	{'I'}	lipid droplet	1	9.9297	{'supercog2'}	1
GO:0005813	{'Z'}	centrosome	1	8.273	{'supercog1'}	1
GO:0005814	{'Z'}	centriole	1	10.121	{'supercog1'}	1
GO:0005815	{'Z'}	microtubule organizing center	1	7.4811	{'supercog1'}	1
GO:0005816	{'Z'}	spindle pole body	1	10.4828	{'supercog1'}	1
GO:0005819	{'Z'}	spindle	1	8.1909	{'supercog1'}	1
GO:0005827	{'Z'}	polar microtubule	1	14.4169	{'supercog1'}	1
GO:0005829	{'R'}	cytosol	1	3.7682	{'general function'}	1
GO:0005833	{'O'}	hemoglobin complex	1	8.8001	{'supercog1'}	1
GO:0005838	{'O'}	proteasome regulatory particle	1	10.832	{'supercog1'}	1
GO:0005839	{'O'}	proteasome core complex	1	8.7669	{'supercog1'}	1
GO:0005840	{'J'}	ribosome	1	3.7608	{'supercog3'}	1
GO:0005844	{'R'}	polysome	1	10.2585	{'general function'}	1
GO:0005845	{'R'}	mRNA cap binding complex	1	12.095	{'general function'}	1
GO:0005847	{'O', 'Y'}	mRNA cleavage and polyadenylation specificity factor complex	2	11.7324	{'supercog3', 'supercog1'}	2
GO:0005849	{'O', 'Y'}	mRNA cleavage factor complex	2	10.9482	{'supercog3', 'supercog1'}	2
GO:0005850	{'O'}	eukaryotic translation initiation factor 2 complex	1	14.0543	{'supercog1'}	1
GO:0005851	{'O'}	eukaryotic translation initiation factor 2B complex	1	12.7007	{'supercog1'}	1
GO:0005852	{'O'}	eukaryotic translation initiation factor 3 complex	1	9.7813	{'supercog1'}	1
GO:0005856	{'Z'}	cytoskeleton	1	5.649	{'supercog1'}	1
GO:0005858	{'Z'}	axonemal dynein complex	1	13.2243	{'supercog1'}	1
GO:0005865	{'Z'}	striated muscle thin filament	1	11.8844	{'supercog1'}	1
GO:0005868	{'O'}	cytoplasmic dynein complex	1	12.6096	{'supercog1'}	1
GO:0005874	{'Z'}	microtubule	1	7.8064	{'supercog1'}	1
GO:0005875	{'O'}	microtubule associated complex	1	9.1528	{'supercog1'}	1
GO:0005876	{'Z'}	spindle microtubule	1	10.51	{'supercog1'}	1
GO:0005879	{'Z'}	axonemal microtubule	1	13.3663	{'supercog1'}	1
GO:0005881	{'Z'}	cytoplasmic microtubule	1	10.6697	{'supercog1'}	1
GO:0005882	{'Z'}	intermediate filament	1	9.8623	{'supercog1'}	1
GO:0005884	{'Z'}	actin filament	1	10.2643	{'supercog1'}	1
GO:0005886	{'M'}	plasma membrane	1	3.4526	{'supercog1'}	1
GO:0005887	{'R'}	integral component of plasma membrane	1	6.2869	{'general function'}	1
GO:0005890	{'M'}	sodium:potassium-exchanging ATPase complex	1	13.4169	{'supercog1'}	1
GO:0005891	{'M'}	voltage-gated calcium channel complex	1	12.4694	{'supercog1'}	1
GO:0005892	{'O', 'M'}	acetylcholine-gated channel complex	2	14.4169	{'supercog1'}	1
GO:0005901	{'M'}	caveola	1	11.1799	{'supercog1'}	1
GO:0005902	{'Z'}	microvillus	1	10.169	{'supercog1'}	1
GO:0005903	{'Z'}	brush border	1	10.9763	{'supercog1'}	1
GO:0005905	{'M'}	clathrin-coated pit	1	10.9859	{'supercog1'}	1
GO:0005911	{'W'}	cell-cell junction	1	7.8755	{'supercog1'}	1
GO:0005912	{'W'}	adherens junction	1	8.6563	{'supercog1'}	1
GO:0005915	{'W'}	zonula adherens	1	14.2243	{'supercog1'}	1
GO:0005921	{'W'}	gap junction	1	12.7324	{'supercog1'}	1
GO:0005922	{'W'}	connexin complex	1	14.1368	{'supercog1'}	1
GO:0005923	{'W'}	bicellular tight junction	1	10.5661	{'supercog1'}	1
GO:0005925	{'W'}	focal adhesion	1	9.273	{'supercog1'}	1
GO:0005929	{'O', 'M'}	cilium	2	7.8623	{'supercog1'}	1
GO:0005930	{'Z'}	axoneme	1	10.3478	{'supercog1'}	1
GO:0005938	{'W'}	cell cortex	1	7.7834	{'supercog1'}	1
GO:0005945	{'O'}	6-phosphofructokinase complex	1	13.2243	{'supercog1'}	1
GO:0005946	{'O'}	alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)	1	13.832	{'supercog1'}	1
GO:0005950	{'O'}	anthranilate synthase complex	1	15.0543	{'supercog1'}	1
GO:0005953	{'O'}	CAAX-protein geranylgeranyltransferase complex	1	13.9763	{'supercog1'}	1
GO:0005955	{'O'}	calcineurin complex	1	13.6393	{'supercog1'}	1
GO:0005965	{'O'}	protein farnesyltransferase complex	1	13.6393	{'supercog1'}	1
GO:0005967	{'O'}	mitochondrial pyruvate dehydrogenase complex	1	13.7648	{'supercog1'}	1
GO:0005971	{'O'}	ribonucleoside-diphosphate reductase complex	1	11.9389	{'supercog1'}	1
GO:0005975	{'G'}	carbohydrate metabolic process	1	3.8171	{'supercog2'}	1
GO:0005976	{'G'}	polysaccharide metabolic process	1	6.0234	{'supercog2'}	1
GO:0005977	{'G'}	glycogen metabolic process	1	8.4218	{'supercog2'}	1
GO:0005978	{'G'}	glycogen biosynthetic process	1	8.7445	{'supercog2'}	1
GO:0005979	{'G', 'C'}	regulation of glycogen biosynthetic process	2	12.7007	{'supercog2'}	1
GO:0005980	{'G'}	glycogen catabolic process	1	11.6393	{'supercog2'}	1
GO:0005982	{'G'}	starch metabolic process	1	11.0847	{'supercog2'}	1
GO:0005983	{'G'}	starch catabolic process	1	12.798	{'supercog2'}	1
GO:0005984	{'G'}	disaccharide metabolic process	1	9.213	{'supercog2'}	1
GO:0005985	{'G'}	sucrose metabolic process	1	11.0745	{'supercog2'}	1
GO:0005986	{'G'}	sucrose biosynthetic process	1	12.3914	{'supercog2'}	1
GO:0005987	{'G'}	sucrose catabolic process	1	13.3174	{'supercog2'}	1
GO:0005988	{'G'}	lactose metabolic process	1	11.169	{'supercog2'}	1
GO:0005991	{'G'}	trehalose metabolic process	1	10.6544	{'supercog2'}	1
GO:0005992	{'G'}	trehalose biosynthetic process	1	11.095	{'supercog2'}	1
GO:0005996	{'G', 'H'}	monosaccharide metabolic process	2	5.9817	{'supercog2'}	1
GO:0006000	{'G', 'H'}	fructose metabolic process	2	10.9575	{'supercog2'}	1
GO:0006002	{'G'}	fructose 6-phosphate metabolic process	1	9.9811	{'supercog2'}	1
GO:0006006	{'G', 'H'}	glucose metabolic process	2	6.6258	{'supercog2'}	1
GO:0006007	{'G', 'H'}	glucose catabolic process	2	9.7731	{'supercog2'}	1
GO:0006011	{'G', 'H'}	UDP-glucose metabolic process	2	11.832	{'supercog2'}	1
GO:0006012	{'G', 'H'}	galactose metabolic process	2	9.8623	{'supercog2'}	1
GO:0006014	{'G', 'H'}	D-ribose metabolic process	2	10.9023	{'supercog2'}	1
GO:0006020	{'H'}	inositol metabolic process	1	10.2759	{'supercog2'}	1
GO:0006022	{'G'}	aminoglycan metabolic process	1	5.8742	{'supercog2'}	1
GO:0006023	{'G'}	aminoglycan biosynthetic process	1	6.3291	{'supercog2'}	1
GO:0006024	{'G'}	glycosaminoglycan biosynthetic process	1	6.3359	{'supercog2'}	1
GO:0006026	{'G'}	aminoglycan catabolic process	1	8.2715	{'supercog2'}	1
GO:0006027	{'G'}	glycosaminoglycan catabolic process	1	8.6262	{'supercog2'}	1
GO:0006029	{'G', 'O'}	proteoglycan metabolic process	2	11.169	{'supercog2', 'supercog1'}	2
GO:0006030	{'G'}	chitin metabolic process	1	10.2701	{'supercog2'}	1
GO:0006031	{'G'}	chitin biosynthetic process	1	14.2243	{'supercog2'}	1
GO:0006032	{'G'}	chitin catabolic process	1	10.4694	{'supercog2'}	1
GO:0006040	{'G'}	amino sugar metabolic process	1	7.447	{'supercog2'}	1
GO:0006044	{'G'}	N-acetylglucosamine metabolic process	1	10.3725	{'supercog2'}	1
GO:0006047	{'G', 'H'}	UDP-N-acetylglucosamine metabolic process	2	9.1881	{'supercog2'}	1
GO:0006048	{'G', 'C', 'H'}	UDP-N-acetylglucosamine biosynthetic process	3	9.3084	{'supercog2'}	1
GO:0006054	{'G'}	N-acetylneuraminate metabolic process	1	9.9528	{'supercog2'}	1
GO:0006059	{'G'}	hexitol metabolic process	1	11.0051	{'supercog2'}	1
GO:0006060	{'G'}	sorbitol metabolic process	1	13.3663	{'supercog2'}	1
GO:0006062	{'G'}	sorbitol catabolic process	1	15.4169	{'supercog2'}	1
GO:0006063	{'H'}	uronic acid metabolic process	1	10.832	{'supercog2'}	1
GO:0006066	{'H'}	alcohol metabolic process	1	6.5541	{'supercog2'}	1
GO:0006067	{'H'}	ethanol metabolic process	1	10.7244	{'supercog2'}	1
GO:0006068	{'H'}	ethanol catabolic process	1	12.0543	{'supercog2'}	1
GO:0006071	{'G'}	glycerol metabolic process	1	8.9412	{'supercog2'}	1
GO:0006072	{'G'}	glycerol-3-phosphate metabolic process	1	8.817	{'supercog2'}	1
GO:0006073	{'R'}	cellular glucan metabolic process	1	7.4478	{'general function'}	1
GO:0006081	{'C'}	cellular aldehyde metabolic process	1	6.4045	{'supercog2'}	1
GO:0006082	{'H'}	organic acid metabolic process	1	2.5511	{'supercog2'}	1
GO:0006083	{'H'}	acetate metabolic process	1	10.4896	{'supercog2'}	1
GO:0006084	{'H'}	acetyl-CoA metabolic process	1	8.5931	{'supercog2'}	1
GO:0006085	{'H'}	acetyl-CoA biosynthetic process	1	9.0518	{'supercog2'}	1
GO:0006086	{'H'}	acetyl-CoA biosynthetic process from pyruvate	1	11.2243	{'supercog2'}	1
GO:0006089	{'C'}	lactate metabolic process	1	9.6318	{'supercog2'}	1
GO:0006090	{'H'}	pyruvate metabolic process	1	5.6849	{'supercog2'}	1
GO:0006091	{'C'}	generation of precursor metabolites and energy	1	4.4119	{'supercog2'}	1
GO:0006094	{'H'}	gluconeogenesis	1	7.2391	{'supercog2'}	1
GO:0006096	{'C', 'H'}	glycolytic process	2	6.3103	{'supercog2'}	1
GO:0006097	{'G'}	glyoxylate cycle	1	10.0295	{'supercog2'}	1
GO:0006098	{'G', 'C'}	pentose-phosphate shunt	2	8.3616	{'supercog2'}	1
GO:0006099	{'C'}	tricarboxylic acid cycle	1	7.4669	{'supercog2'}	1
GO:0006101	{'H'}	citrate metabolic process	1	12.1158	{'supercog2'}	1
GO:0006103	{'H'}	2-oxoglutarate metabolic process	1	11.4041	{'supercog2'}	1
GO:0006104	{'H'}	succinyl-CoA metabolic process	1	12.1368	{'supercog2'}	1
GO:0006106	{'H'}	fumarate metabolic process	1	10.9575	{'supercog2'}	1
GO:0006108	{'H'}	malate metabolic process	1	10.1582	{'supercog2'}	1
GO:0006109	{'G'}	regulation of carbohydrate metabolic process	1	8.8191	{'supercog2'}	1
GO:0006110	{'C', 'H'}	regulation of glycolytic process	2	11.4169	{'supercog2'}	1
GO:0006111	{'G', 'H'}	regulation of gluconeogenesis	2	10.9482	{'supercog2'}	1
GO:0006112	{'C'}	energy reserve metabolic process	1	8.3663	{'supercog2'}	1
GO:0006113	{'C'}	fermentation	1	10.9482	{'supercog2'}	1
GO:0006114	{'G'}	glycerol biosynthetic process	1	12.7648	{'supercog2'}	1
GO:0006119	{'C'}	oxidative phosphorylation	1	7.4234	{'supercog2'}	1
GO:0006120	{'C'}	mitochondrial electron transport, NADH to ubiquinone	1	11.0345	{'supercog2'}	1
GO:0006121	{'C'}	mitochondrial electron transport, succinate to ubiquinone	1	11.9763	{'supercog2'}	1
GO:0006122	{'C'}	mitochondrial electron transport, ubiquinol to cytochrome c	1	8.6755	{'supercog2'}	1
GO:0006123	{'C'}	mitochondrial electron transport, cytochrome c to oxygen	1	10.9955	{'supercog2'}	1
GO:0006124	{'O'}	ferredoxin metabolic process	1	15.0543	{'supercog1'}	1
GO:0006139	{'C'}	nucleobase-containing compound metabolic process	1	1.7617	{'supercog2'}	1
GO:0006140	{'F'}	regulation of nucleotide metabolic process	1	10.2995	{'supercog2'}	1
GO:0006144	{'H'}	purine nucleobase metabolic process	1	8.0543	{'supercog2'}	1
GO:0006145	{'H'}	purine nucleobase catabolic process	1	10.4364	{'supercog2'}	1
GO:0006148	{'H'}	inosine catabolic process	1	14.3174	{'supercog2'}	1
GO:0006152	{'H'}	purine nucleoside catabolic process	1	11.0148	{'supercog2'}	1
GO:0006154	{'H'}	adenosine catabolic process	1	13.1368	{'supercog2'}	1
GO:0006161	{'H'}	deoxyguanosine catabolic process	1	17.2243	{'supercog2'}	1
GO:0006163	{'F'}	purine nucleotide metabolic process	1	4.2678	{'supercog2'}	1
GO:0006164	{'C', 'F', 'H'}	purine nucleotide biosynthetic process	3	4.7987	{'supercog2'}	1
GO:0006165	{'R'}	nucleoside diphosphate phosphorylation	1	6.1089	{'general function'}	1
GO:0006166	{'C', 'H'}	purine ribonucleoside salvage	2	8.662	{'supercog2'}	1
GO:0006167	{'C', 'F', 'H'}	AMP biosynthetic process	3	7.7086	{'supercog2'}	1
GO:0006172	{'C', 'F', 'H'}	ADP biosynthetic process	3	11.9205	{'supercog2'}	1
GO:0006177	{'C', 'F', 'H'}	GMP biosynthetic process	3	9.273	{'supercog2'}	1
GO:0006183	{'H'}	GTP biosynthetic process	1	9.1582	{'supercog2'}	1
GO:0006188	{'C', 'F', 'H'}	IMP biosynthetic process	3	7.429	{'supercog2'}	1
GO:0006189	{'C', 'F', 'H'}	'de novo' IMP biosynthetic process	3	7.5092	{'supercog2'}	1
GO:0006195	{'F'}	purine nucleotide catabolic process	1	10.1475	{'supercog2'}	1
GO:0006196	{'G', 'F'}	AMP catabolic process	2	12.6096	{'supercog2'}	1
GO:0006198	{'F'}	cAMP catabolic process	1	14.3174	{'supercog2'}	1
GO:0006204	{'G', 'F'}	IMP catabolic process	2		{'supercog2'}	1
GO:0006206	{'H'}	pyrimidine nucleobase metabolic process	1	6.9669	{'supercog2'}	1
GO:0006207	{'H'}	'de novo' pyrimidine nucleobase biosynthetic process	1	7.5714	{'supercog2'}	1
GO:0006213	{'H'}	pyrimidine nucleoside metabolic process	1	9.8234	{'supercog2'}	1
GO:0006218	{'H'}	uridine catabolic process	1	15.0543	{'supercog2'}	1
GO:0006220	{'F'}	pyrimidine nucleotide metabolic process	1	5.7187	{'supercog2'}	1
GO:0006221	{'F', 'H'}	pyrimidine nucleotide biosynthetic process	2	5.8398	{'supercog2'}	1
GO:0006222	{'F', 'H'}	UMP biosynthetic process	2	6.9634	{'supercog2'}	1
GO:0006225	{'F', 'H'}	UDP biosynthetic process	2	13.3174	{'supercog2'}	1
GO:0006226	{'F', 'H'}	dUMP biosynthetic process	2	9.1501	{'supercog2'}	1
GO:0006228	{'F', 'H'}	UTP biosynthetic process	2	9.2556	{'supercog2'}	1
GO:0006231	{'F', 'H'}	dTMP biosynthetic process	2	9.4009	{'supercog2'}	1
GO:0006235	{'F', 'H'}	dTTP biosynthetic process	2	8.5483	{'supercog2'}	1
GO:0006241	{'F', 'H'}	CTP biosynthetic process	2	7.8449	{'supercog2'}	1
GO:0006244	{'F'}	pyrimidine nucleotide catabolic process	1	9.7284	{'supercog2'}	1
GO:0006259	{'B'}	DNA metabolic process	1	4.3605	{'supercog3'}	1
GO:0006260	{'B', 'L'}	DNA replication	2	5.8151	{'supercog3'}	1
GO:0006261	{'L'}	DNA-templated DNA replication	1	7.2723	{'supercog3'}	1
GO:0006264	{'L'}	mitochondrial DNA replication	1	12.6096	{'supercog3'}	1
GO:0006265	{'B'}	DNA topological change	1	9.4266	{'supercog3'}	1
GO:0006266	{'B'}	DNA ligation	1	8.6563	{'supercog3'}	1
GO:0006267	{'D', 'Y'}	pre-replicative complex assembly involved in nuclear cell cycle DNA replication	2	12.2019	{'supercog3', 'supercog1'}	2
GO:0006268	{'L'}	DNA unwinding involved in DNA replication	1	10.8149	{'supercog3'}	1
GO:0006269	{'L', 'K'}	DNA replication, synthesis of RNA primer	2	10.1582	{'supercog3'}	1
GO:0006270	{'B', 'L'}	DNA replication initiation	2	8.9931	{'supercog3'}	1
GO:0006271	{'L'}	DNA strand elongation involved in DNA replication	1	10.1315	{'supercog3'}	1
GO:0006272	{'L', 'K'}	leading strand elongation	2	11.9205	{'supercog3'}	1
GO:0006275	{'B', 'L'}	regulation of DNA replication	2	8.4811	{'supercog3'}	1
GO:0006276	{'X'}	plasmid maintenance	1	12.3416	{'supercog3'}	1
GO:0006278	{'L'}	RNA-templated DNA biosynthetic process	1	9.7364	{'supercog3'}	1
GO:0006281	{'L'}	DNA repair	1	4.9853	{'supercog3'}	1
GO:0006282	{'L'}	regulation of DNA repair	1	9.4266	{'supercog3'}	1
GO:0006283	{'L'}	transcription-coupled nucleotide-excision repair	1	11.2243	{'supercog3'}	1
GO:0006284	{'L'}	base-excision repair	1	8.1542	{'supercog3'}	1
GO:0006289	{'L'}	nucleotide-excision repair	1	7.7689	{'supercog3'}	1
GO:0006290	{'L'}	pyrimidine dimer repair	1	12.6096	{'supercog3'}	1
GO:0006294	{'O', 'B'}	nucleotide-excision repair, preincision complex assembly	2	12.8667	{'supercog3', 'supercog1'}	2
GO:0006296	{'R'}	nucleotide-excision repair, DNA incision, 5'-to lesion	1	12.5518	{'general function'}	1
GO:0006298	{'L'}	mismatch repair	1	8.3647	{'supercog3'}	1
GO:0006301	{'L'}	postreplication repair	1	10.4041	{'supercog3'}	1
GO:0006302	{'L'}	double-strand break repair	1	7.9775	{'supercog3'}	1
GO:0006303	{'L'}	double-strand break repair via nonhomologous end joining	1	10.1002	{'supercog3'}	1
GO:0006304	{'B'}	DNA modification	1	8.6988	{'supercog3'}	1
GO:0006305	{'B'}	DNA alkylation	1	9.7526	{'supercog3'}	1
GO:0006306	{'B'}	DNA methylation	1	9.7526	{'supercog3'}	1
GO:0006308	{'B'}	DNA catabolic process	1	8.8427	{'supercog3'}	1
GO:0006310	{'L'}	DNA recombination	1	5.9654	{'supercog3'}	1
GO:0006312	{'L'}	mitotic recombination	1	10.7813	{'supercog3'}	1
GO:0006313	{'L', 'X'}	transposition, DNA-mediated	2	10.2413	{'supercog3'}	1
GO:0006323	{'R'}	DNA packaging	1	8.4315	{'general function'}	1
GO:0006325	{'B'}	chromatin organization	1	6.637	{'supercog3'}	1
GO:0006333	{'R'}	chromatin assembly or disassembly	1	8.9435	{'general function'}	1
GO:0006334	{'B', 'O'}	nucleosome assembly	2	9.7284	{'supercog3', 'supercog1'}	2
GO:0006335	{'B'}	DNA replication-dependent chromatin assembly	1	12.9763	{'supercog3'}	1
GO:0006337	{'B', 'O'}	nucleosome disassembly	2	12.4429	{'supercog3', 'supercog1'}	2
GO:0006338	{'B'}	chromatin remodeling	1	8.8514	{'supercog3'}	1
GO:0006342	{'R'}	chromatin silencing	1	9.0898	{'general function'}	1
GO:0006346	{'B'}	DNA methylation-dependent heterochromatin formation	1	12.9389	{'supercog3'}	1
GO:0006348	{'R'}	chromatin silencing at telomere	1	10.7165	{'general function'}	1
GO:0006349	{'R'}	regulation of gene expression by genomic imprinting	1	12.8667	{'general function'}	1
GO:0006351	{'K'}	DNA-templated transcription	1	4.0354	{'supercog3'}	1
GO:0006352	{'K'}	DNA-templated transcription initiation	1	8.2019	{'supercog3'}	1
GO:0006353	{'K'}	DNA-templated transcription termination	1	8.63	{'supercog3'}	1
GO:0006354	{'K'}	DNA-templated transcription elongation	1	8.5325	{'supercog3'}	1
GO:0006355	{'K'}	regulation of DNA-templated transcription	1	4.2172	{'supercog3'}	1
GO:0006356	{'K'}	regulation of transcription by RNA polymerase I	1	11.832	{'supercog3'}	1
GO:0006357	{'K'}	regulation of transcription by RNA polymerase II	1	5.8959	{'supercog3'}	1
GO:0006360	{'K'}	transcription by RNA polymerase I	1	10.2876	{'supercog3'}	1
GO:0006361	{'K'}	transcription initiation from RNA polymerase I promoter	1	12.5238	{'supercog3'}	1
GO:0006362	{'K'}	transcription elongation from RNA polymerase I promoter	1	12.6096	{'supercog3'}	1
GO:0006363	{'K'}	termination of RNA polymerase I transcription	1	12.832	{'supercog3'}	1
GO:0006364	{'J'}	rRNA processing	1	5.388	{'supercog3'}	1
GO:0006366	{'K'}	transcription by RNA polymerase II	1	5.7613	{'supercog3'}	1
GO:0006367	{'K'}	transcription initiation at RNA polymerase II promoter	1	9.2818	{'supercog3'}	1
GO:0006368	{'K'}	transcription elongation by RNA polymerase II	1	9.4594	{'supercog3'}	1
GO:0006369	{'K'}	termination of RNA polymerase II transcription	1	11.4561	{'supercog3'}	1
GO:0006370	{'A'}	7-methylguanosine mRNA capping	1	10.6096	{'supercog3'}	1
GO:0006376	{'J'}	mRNA splice site selection	1	11.4964	{'supercog3'}	1
GO:0006378	{'A'}	mRNA polyadenylation	1	10.6544	{'supercog3'}	1
GO:0006379	{'R'}	mRNA cleavage	1	11.2818	{'general function'}	1
GO:0006383	{'K'}	transcription by RNA polymerase III	1	10.3539	{'supercog3'}	1
GO:0006388	{'J'}	tRNA splicing, via endonucleolytic cleavage and ligation	1	10.4896	{'supercog3'}	1
GO:0006390	{'K'}	mitochondrial transcription	1	12.1158	{'supercog3'}	1
GO:0006396	{'A'}	RNA processing	1	4.007	{'supercog3'}	1
GO:0006397	{'A'}	mRNA processing	1	6.7354	{'supercog3'}	1
GO:0006399	{'J'}	tRNA metabolic process	1	4.1381	{'supercog3'}	1
GO:0006400	{'A', 'J'}	tRNA modification	2	5.4868	{'supercog3'}	1
GO:0006401	{'A'}	RNA catabolic process	1	6.3843	{'supercog3'}	1
GO:0006402	{'A', 'K'}	mRNA catabolic process	2	7.2592	{'supercog3'}	1
GO:0006403	{'A'}	RNA localization	1	8.1744	{'supercog3'}	1
GO:0006404	{'A'}	RNA import into nucleus	1	13.4694	{'supercog3'}	1
GO:0006405	{'A'}	RNA export from nucleus	1	9.0345	{'supercog3'}	1
GO:0006406	{'K'}	mRNA export from nucleus	1	9.7855	{'supercog3'}	1
GO:0006408	{'A'}	snRNA export from nucleus	1	14.6393	{'supercog3'}	1
GO:0006412	{'J'}	translation	1	2.9462	{'supercog3'}	1
GO:0006413	{'J'}	translational initiation	1	6.8422	{'supercog3'}	1
GO:0006414	{'J'}	translational elongation	1	6.4985	{'supercog3'}	1
GO:0006415	{'O', 'J'}	translational termination	2	7.7027	{'supercog3', 'supercog1'}	2
GO:0006417	{'J'}	regulation of translation	1	6.5343	{'supercog3'}	1
GO:0006418	{'J'}	tRNA aminoacylation for protein translation	1	5.3704	{'supercog3'}	1
GO:0006436	{'J'}	tryptophanyl-tRNA aminoacylation	1	10.8844	{'supercog3'}	1
GO:0006437	{'J'}	tyrosyl-tRNA aminoacylation	1	9.5949	{'supercog3'}	1
GO:0006446	{'J'}	regulation of translational initiation	1	9.7567	{'supercog3'}	1
GO:0006448	{'J'}	regulation of translational elongation	1	9.7731	{'supercog3'}	1
GO:0006450	{'T'}	regulation of translational fidelity	1	7.3076	{'supercog1'}	1
GO:0006457	{'O', 'K'}	protein folding	2	5.8435	{'supercog3', 'supercog1'}	2
GO:0006458	{'O', 'K'}	'de novo' protein folding	2	9.798	{'supercog3', 'supercog1'}	2
GO:0006464	{'R'}	cellular protein modification process	1	3.7504	{'general function'}	1
GO:0006468	{'O'}	protein phosphorylation	1	5.2547	{'supercog1'}	1
GO:0006469	{'O'}	negative regulation of protein kinase activity	1	9.3144	{'supercog1'}	1
GO:0006470	{'O'}	protein dephosphorylation	1	7.2898	{'supercog1'}	1
GO:0006471	{'R'}	protein ADP-ribosylation	1	11.0051	{'general function'}	1
GO:0006473	{'O'}	protein acetylation	1	8.6114	{'supercog1'}	1
GO:0006474	{'O', 'K'}	N-terminal protein amino acid acetylation	2	11.7648	{'supercog3', 'supercog1'}	2
GO:0006475	{'O'}	internal protein amino acid acetylation	1	8.8755	{'supercog1'}	1
